RPP1  Regional Price Parities,,,,
 ,,,,
Bureau of Economic Analysis ,,,,
Metropolitan Statistical Area,,,,
GeoFips,GeoName,LineCode,Description,2013
17020,"Chico, CA (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,106.2
17020,"Chico, CA (Metropolitan Statistical Area)",4,  RPPs: Services: Other,100.5
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",1,RPPs: All items,90.5
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",2,  RPPs: Goods,92.7
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,80
17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",4,  RPPs: Services: Other,93.9
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",1,RPPs: All items,91.4
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",2,  RPPs: Goods,97.4
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",3,  RPPs: Services: Rents,77.5
17300,"Clarksville, TN-KY (Metropolitan Statistical Area)",4,  RPPs: Services: Other,94.2
